signal_date,ticker,pattern_type,score,date,day_offset,open,high,low,close,volume,daily_return_pct
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-13,-21,63.25,65.4,63.25,64.8,1977951,2.4506
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-14,-20,65.2,65.56,63.8,64.17,1548893,-1.5798
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-15,-19,64.38,64.49,62.65,62.99,1104091,-2.1591
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-18,-18,62.5,62.66,60.31,61.87,1323195,-1.008
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-19,-17,62.01,67.44,61.89,65.03,11940397,4.8702
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-20,-16,64.2,64.59,62.95,63.93,1738930,-0.4206
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-21,-15,64.13,64.84,63.7,64.02,1230889,-0.1715
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-22,-14,64.02,65.99,63.28,64.31,2749299,0.453
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-25,-13,64.78,65.67,64.57,64.86,1797317,0.1235
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-26,-12,64.78,66.46,64.66,65.04,2405995,0.4014
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-27,-11,65.11,67.23,65.11,65.99,2934441,1.3516
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-29,-10,66.19,66.43,64.31,64.88,1768441,-1.9792
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-01,-9,65.4,65.64,63.43,64.04,1279304,-2.0795
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-02,-8,63.76,65.4,62.87,64.81,1541903,1.6468
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-03,-7,65.71,66.74,63.72,65.18,2257611,-0.8066
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-04,-6,64.76,71.28,64.54,68.31,45721223,5.4818
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-05,-5,68.79,69.21,67.26,68.03,4893997,-1.1048
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-08,-4,66.61,67.09,65.0,65.35,2440979,-1.8916
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-09,-3,65.7,67.38,65.42,66.88,2566646,1.796
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-10,-2,66.79,67.03,64.35,64.69,1693956,-3.1442
2026-06-12,MMTC,pocket_pivot,100.0,2026-06-11,-1,64.61,64.61,62.9,63.07,1470121,-2.3835
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-07,-25,2670.0,2738.5,2608.2,2656.6,11499,-0.5019
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-08,-24,2630.0,2656.6,2283.1,2340.7,36577,-11.0
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-11,-23,2333.6,2359.4,2238.2,2279.5,12955,-2.3183
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-12,-22,2257.1,2270.9,2171.1,2188.6,11121,-3.0349
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-13,-21,2188.6,2228.8,2161.1,2177.2,4809,-0.5209
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-14,-20,2164.5,2300.0,2106.1,2271.7,10759,4.9526
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-15,-19,2294.2,2450.0,2238.1,2350.5,18876,2.454
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-18,-18,2369.3,2369.3,2210.0,2249.8,5441,-5.0437
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-19,-17,2221.5,2339.9,2174.4,2276.7,4880,2.4848
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-20,-16,2240.8,2525.0,2176.0,2410.1,16647,7.5553
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-21,-15,2450.0,2525.0,2405.0,2501.9,11247,2.1184
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-22,-14,2569.8,2879.8,2288.5,2735.8,100556,6.4596
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-25,-13,2900.0,3005.0,2801.1,2858.9,100089,-1.4172
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-26,-12,2830.0,2927.9,2772.1,2819.8,33214,-0.3604
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-27,-11,2819.8,2878.4,2636.0,2697.6,13089,-4.3336
2026-06-12,NGLFINE,pocket_pivot,100.0,2026-05-29,-10,2697.6,2878.0,2690.1,2785.1,15999,3.2436
